"data.ticker"|"data.figi_ticker"|"data.figi"|"data.title"|"data.publication_date"|"data.summary"|"data.url"|"result_count"|"page_size"|"current_page"|"total_pages"|"api_call_credits"
"PFE"|"PFE:US"|"BBG000BR2B91"|"An Irish Town That Manufactures Viagra Boasts of ‘Love Fumes’ in the Air"|"2017-12-08T17:43:09.000+00:00"|"Ringaskiddy residents say they have an extra spring in their step."|"https://finance.yahoo.com/news/irish-town-manufactures-viagra-boasts-174309845.html?.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"A Cancer-Drug Pricing Experiment Just Got More Interesting"|"2017-12-08T17:13:46.000+00:00"|"Pfizer's new PARP-inhibitor trial data suggest more competition and pressure."|"http://finance.yahoo.com/r/c929d796-661c-3c4e-ae20-b0041f381d05/pfizer-talazoparib-data-cancer-drug-price-pressure-risk-rises?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo&.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"A Game-Changing Breakthrough Could Be Coming for Hemophilia Patients"|"2017-12-08T13:31:00.000+00:00"|"There&apos;s a new gene therapy in clinical trials that could revolutionize how doctors treat this disease."|"https://finance.yahoo.com/news/game-changing-breakthrough-could-coming-133100101.html?.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Pfizer breast cancer drug superior to chemotherapy in Phase III study"|"2017-12-08T13:30:01.000+00:00"|"Patients with advanced breast cancer tied  to an inherited gene mutation who were treated with an  experimental Pfizer Inc drug went about three months  longer before their disease worsened than those who received  chemotherapy in a late stage study, according to data released  on Friday.  The drug, talazoparib, a once daily pill that Pfizer  acquired with its $14 billion purchase of Medivation, belongs to  a class of medicines called PARP inhibitors that may induce  tumor cell death.  Patients in the Phase III study had mutations of the BRCA1/2  genes, the type of mutation that led actress Angelina Jolie to  have preventive breast removal surgery."|"https://finance.yahoo.com/news/pfizer-breast-cancer-drug-superior-133001757.html?.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Talazoparib Significantly Extends Progression-Free Survival in Phase 3 EMBRACA Trial of Patients with Metastatic Breast Cancer"|"2017-12-08T13:30:00.000+00:00"|"Pfizer Inc. today announced that the Phase 3 EMBRACA trial in patients with germline BRCA1/2-positive locally advanced and/or metastatic breast cancer demonstrated superior progression-free survival in patients treated with talazoparib, compared to patients who received physician’s choice standard of care chemotherapy."|"https://finance.yahoo.com/news/talazoparib-significantly-extends-progression-free-133000539.html?.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"How Eli Lilly’s Endocrinology Drugs Are Performing"|"2017-12-08T12:32:58.000+00:00"|"In 3Q17, Eli Lilly’s (LLY) Humalog generated revenues of $696.2 million, ~9% growth on year-over-year (or YoY) basis and 3% growth on a quarter-over-quarter basis."|"http://finance.yahoo.com/r/7781918a-0627-384b-9c0c-364ca50309c6/eli-lillys-endocrinology-drugs-performing?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Republican tax bill makes big winners of Amgen, Gilead and other drugmakers"|"2017-12-08T12:04:00.000+00:00"|"Of all U.S. companies, drugmakers have some of the most cash held outside the country."|"http://finance.yahoo.com/r/0858da82-b044-3dd1-a54d-40e243cf26c6/Story.aspx?guid=097A5FFC-D926-11E7-B6AB-0AA3A34E7FAD&siteid=yhoof2&yptr=yahoo&.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Pfizer: Talazoparib Extends Progression-Free Survival In Phase 3 Trial"|"2017-12-08T08:43:00.000+00:00"|"Pfizer: Talazoparib Extends Progression-Free Survival In Phase 3 Trial"|"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/EvRZEt2S_-Y/pfizer-talazoparib-extends-progressionfree-survival-in-phase-3-trial-20171208-00340"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Understanding Allergan’s Valuation in December 2017"|"2017-12-07T20:57:52.000+00:00"|"Allergan reported EPS of $4.15 on revenues of $4.03 billion in 3Q17, which was 11.4% higher YoY, compared with its revenues of $3.62 billion in 3Q16."|"http://finance.yahoo.com/r/4ff3300a-0fdd-3512-9a8e-ea27026e8c84/understanding-allergans-valuation-december-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"|4893|100|1|49|1
"PFE"|"PFE:US"|"BBG000BR2B91"|"Pfizer Reports Updated Data from Phase III Study on Ibrance"|"2017-12-07T20:27:08.000+00:00"|"Pfizer (PFE) releases impressive new data of a post-hoc analysis from a phase III study on the combo therapy of Ibrance and Femara for the first-line treatment of ER+, HER2- metastatic breast cancer."|"https://finance.yahoo.com/news/pfizer-reports-updated-data-phase-202708890.html?.tsrc=rss"|4893|100|1|49|1
